measurement_id,trial_id,strategy,liquid,volume_target_ml,volume_target_ul,volume_measured_ml,volume_measured_ul,duration_s,timestamp,replicate_id,deviation_individual_pct,calibration_overaspirate_vol,hardware_parameters_aspirate_speed,hardware_parameters_dispense_speed,hardware_parameters_aspirate_wait_time,hardware_parameters_blowout_vol,hardware_parameters_pre_asp_air_vol,metadata_replicate,metadata_volume,metadata_elapsed_s,metadata_start_time,metadata_end_time,metadata_target_volume_mL,metadata_measured_volume_uL,metadata_target_volume_uL,metadata_aspirate_speed,metadata_dispense_speed,metadata_aspirate_wait_time,metadata_dispense_wait_time,metadata_pre_asp_air_vol,metadata_retract_speed,metadata_blowout_vol,metadata_post_asp_air_vol,metadata_post_retract_wait_time,metadata_overaspirate_vol,metadata_retry_count
measurement_1769124918330938_1,trial_1,screening,agar_water_refill,0.05,50.0,0.04542574257425955,45.425742574259544,45.193886399734765,1769124918.330938,1,9.14851485148091,0.006500000000000001,19,30,0.0,0.006,0.101,1,0.04542574257425955,45.193886399734765,2026-01-22T18:34:33.138202,2026-01-22T18:35:18.330938,0.05,45.425742574259544,50.0,19,30,0.0,1.5,0.101,5.0,0.006,0.0,0.0,0.006500000000000001,0
measurement_1769124962096441_1,trial_1,screening,agar_water_refill,0.05,50.0,0.04582178217821902,45.821782178219024,43.761426399927586,1769124962.0964415,1,8.356435643561962,0.006500000000000001,19,30,0.0,0.006,0.101,1,0.04582178217821902,43.761426399927586,2026-01-22T18:35:18.330938,2026-01-22T18:36:02.096441,0.05,45.821782178219024,50.0,19,30,0.0,1.5,0.101,5.0,0.006,0.0,0.0,0.006500000000000001,0
measurement_1769125004706963_1,trial_1,screening,agar_water_refill,0.05,50.0,0.045603960396040255,45.60396039604026,42.6087477998808,1769125004.7069633,1,8.792079207919496,0.006500000000000001,19,30,0.0,0.006,0.101,1,0.045603960396040255,42.6087477998808,2026-01-22T18:36:02.098633,2026-01-22T18:36:44.706963,0.05,45.60396039604026,50.0,19,30,0.0,1.5,0.101,5.0,0.006,0.0,0.0,0.006500000000000001,0
measurement_1769125052675182_1,trial_2,screening,agar_water_refill,0.05,50.0,0.04198019801980087,41.98019801980087,47.950370700098574,1769125052.6751828,1,16.03960396039826,0.0018000000000000002,24,10,16.6,0.2,0.292,1,0.04198019801980087,47.950370700098574,2026-01-22T18:36:44.725750,2026-01-22T18:37:32.675182,0.05,41.98019801980087,50.0,24,10,16.6,1.5,0.292,5.0,0.2,0.0,0.0,0.0018000000000000002,0
measurement_1769125118903524_1,trial_3,screening,agar_water_refill,0.05,50.0,0.04504950495049383,45.04950495049383,66.2145913997665,1769125118.903524,1,9.900990099012352,0.003,12,23,7.800000000000001,0.264,0.17300000000000001,1,0.04504950495049383,66.2145913997665,2026-01-22T18:37:32.690939,2026-01-22T18:38:38.903523,0.05,45.04950495049383,50.0,12,23,7.800000000000001,1.5,0.17300000000000001,5.0,0.264,0.0,0.0,0.003,0
measurement_1769125184531303_1,trial_3,screening,agar_water_refill,0.05,50.0,0.04485148514851585,44.85148514851585,65.62379779992625,1769125184.531303,1,10.297029702968308,0.003,12,23,7.800000000000001,0.264,0.17300000000000001,1,0.04485148514851585,65.62379779992625,2026-01-22T18:38:38.903523,2026-01-22T18:39:44.531302,0.05,44.85148514851585,50.0,12,23,7.800000000000001,1.5,0.17300000000000001,5.0,0.264,0.0,0.0,0.003,0
measurement_1769125231720193_1,trial_4,screening,agar_water_refill,0.05,50.0,0.04516831683168448,45.16831683168448,47.17509789997712,1769125231.7201939,1,9.663366336631048,0.0039000000000000003,28,16,13.8,0.092,0.069,1,0.04516831683168448,47.17509789997712,2026-01-22T18:39:44.544969,2026-01-22T18:40:31.720193,0.05,45.16831683168448,50.0,28,16,13.8,1.5,0.069,5.0,0.092,0.0,0.0,0.0039000000000000003,0
measurement_1769125279012540_1,trial_4,screening,agar_water_refill,0.05,50.0,0.04445544554455286,44.45544554455286,47.29052540007979,1769125279.0125406,1,11.089108910894291,0.0039000000000000003,28,16,13.8,0.092,0.069,1,0.04445544554455286,47.29052540007979,2026-01-22T18:40:31.725780,2026-01-22T18:41:19.012540,0.05,44.45544554455286,50.0,28,16,13.8,1.5,0.069,5.0,0.092,0.0,0.0,0.0039000000000000003,0
measurement_1769125317466132_1,trial_5,screening,agar_water_refill,0.05,50.0,0.04792079207920704,47.92079207920704,38.43282510014251,1769125317.466132,1,4.158415841585924,0.0048000000000000004,15,6,11.700000000000001,0.133,0.12,1,0.04792079207920704,38.43282510014251,2026-01-22T18:41:19.042268,2026-01-22T18:41:57.466131,0.05,47.92079207920704,50.0,15,6,11.700000000000001,1.5,0.12,5.0,0.133,0.0,0.0,0.0048000000000000004,0
measurement_1769125355723477_1,trial_5,screening,agar_water_refill,0.05,50.0,0.04497029702970123,44.97029702970123,38.241870699916035,1769125355.723477,1,10.059405940597552,0.0048000000000000004,15,6,11.700000000000001,0.133,0.12,1,0.04497029702970123,38.241870699916035,2026-01-22T18:41:57.481799,2026-01-22T18:42:35.723476,0.05,44.97029702970123,50.0,15,6,11.700000000000001,1.5,0.12,5.0,0.133,0.0,0.0,0.0048000000000000004,0
