aspirate_speed,dispense_speed,aspirate_wait_time,dispense_wait_time,pre_asp_air_vol_uL,blowout_vol_uL,vol_uL,overaspirate_vol_uL
38,25,35.059887897223234,10.595937576144934,50.26872595772147,376.26454420387745,135.2519087307155,8.863890072553293
27,24,27.751536928117275,13.093401230871677,75.7891433313489,674.2762997746468,106.68250340037048,25.33712449349768
18,11,39.718048609793186,21.99488488957286,243.62192885018885,479.6917047351599,87.642557695508,17.568564550085522
4,12,42.15000847354531,11.572731463238597,17.900389852002263,451.1796683073044,140.75167909264565,17.981740400505732
19,5,40.84349624812603,15.860272580757737,197.7023754734546,619.4440219551325,25.96892640925944,4.74367319009837
2,30,54.930536951869726,11.701961047947407,73.58744251541793,68.48467234522104,21.696755848824978,4.795164132741704
12,7,27.15295784175396,9.29178119637072,192.03183380886912,777.8967749327421,148.43186927959323,17.324565897319992
18,14,14.70331298187375,27.71028625778854,194.19237365946174,658.7688187137246,125.70473688654602,8.074312687687557
3,11,44.87775061279535,7.354194838553667,214.52701720409095,148.36055878549814,43.01359222270548,4.947280220862144
25,17,4.543282650411129,21.12103197723627,28.34123163484037,36.4347156137228,93.87388137169182,0.12126162987459961
30,19,20.064664967358112,14.04790498316288,224.1750054527074,831.8845890462399,143.82275685667992,25.604727774358405
4,19,51.42521342262626,16.7432579677552,78.5377339925617,922.7671371772885,107.8249824885279,5.833221700514132
7,11,58.48019432276487,29.660795386880636,34.33087863959372,970.2052650973201,60.62054697424173,11.534958707405615
10,13,45.74620133265853,13.215698478743434,190.3225255664438,717.9198507219553,108.4647769574076,15.961956737028165
38,21,7.888294234871864,2.5741427298635244,160.94381734728813,790.3119483962655,141.14196633920074,19.145718786186865
28,17,29.51676657423377,1.8005052767693996,179.11271518096328,120.02335209399462,136.22462208382785,15.222878439929618
20,18,58.92270566895604,25.582298738881946,88.3942258078605,667.4977038055658,39.185571633279324,1.7070442291941497
7,17,45.11604147031903,22.38959038630128,154.4955400750041,566.5753753855824,88.68946211412549,15.701908077481528
38,11,53.54427359998226,4.195013931021094,55.23749138228595,781.5829310566187,33.90462317503989,7.672538617581701
2,23,38.028818126767874,10.360299842432141,247.68351833336055,814.8719212040305,45.64042557962239,2.2011246738175165
5,29,43.0553630925715,17.1012154687196,122.5967057980597,691.8486757203937,57.72560345008969,12.14140599484124
37,6,18.31085979938507,23.108697943389416,208.97017745301127,694.1818222403526,36.88556736335158,2.633092119138571
7,25,31.964638251811266,15.555709144100547,39.848954416811466,312.8710640594363,112.63066100887954,11.270793944749279
3,18,46.172210052609444,4.629723401740193,41.71576630324125,248.4358288347721,98.53645903989673,7.7203369654406195
13,20,56.884319465607405,3.6044807452708483,39.05909019522369,320.4535339027643,146.2945853266865,9.00001335596263
7,5,35.004316940903664,26.49394389241934,14.413564465939999,646.3903458788991,105.95718420110643,3.607036559366584
2,5,16.038896273821592,13.832659581676126,197.1871352288872,666.8165624141693,100.721245566383,2.4840972154120697
37,30,41.55768843367696,14.863609643653035,164.45285896770656,985.9477672725916,47.11903873831034,5.161640305178316
8,10,43.59796514734626,19.489054726436734,108.57924702577293,544.5650666952133,44.74461724050343,6.323446634603106
9,16,36.931932996958494,9.050760855898261,164.9452478159219,193.84562876075506,124.79774501174688,15.65793809801316
31,13,33.32255708053708,27.272888515144587,2.974567236378789,19.79604922235012,44.566747918725014,8.195738716256274
35,18,41.97853032499552,25.634218649938703,46.812806045636535,713.5550519451499,104.53801796771586,23.18265972107648
7,15,6.51154238730669,3.7886150926351547,117.86636803299189,253.60373314470053,55.02061719074845,10.277802664001323
20,15,34.6529739908874,6.377710802480578,24.155808379873633,208.4324648603797,71.2827339489013,10.662688461225544
15,11,31.02862972766161,10.723957596346736,30.38371028378606,117.44317226111889,93.04116046987474,21.451528002100563
17,18,5.0405291095376015,10.665766708552837,196.20828283950686,266.2375634536147,141.02707791142166,22.878092444247198
14,13,23.943017832934856,15.796716073527932,66.9354812707752,650.9353313595057,87.47322128154337,12.431253028380935
13,3,39.272845052182674,7.950529893860221,178.7467438261956,400.3294203430414,129.026843868196,21.346594097746753
28,10,15.949767082929611,9.057059828191996,10.234425542876124,468.4688774868846,42.53755529411137,0.24889505379578863
20,9,11.739364676177502,20.679223705083132,14.781462028622627,995.5962374806404,28.474445808678865,5.0838029449631525
19,9,46.33235201239586,19.305995889008045,207.63315726071596,155.9387668967247,70.55299150757492,3.118109243466271
21,15,23.83773123845458,28.298644926398993,37.01223013922572,270.6636358052492,136.84492106549442,28.29481552208571
8,26,44.619505908340216,10.00549259595573,0.9265327826142311,288.89284562319517,96.79418510757387,18.623154141255455
12,14,14.008549824357033,13.707757741212845,111.6704954765737,24.284012615680695,124.48993450962007,20.024363483458412
6,27,30.397791545838118,7.523143524304032,83.69906479492784,659.916783683002,74.3887565843761,8.434980638611117
11,24,35.16700375825167,5.374165931716561,80.16040525399148,514.577591791749,85.10280702263117,0.09581600847973563
35,5,26.70621581375599,24.420038480311632,125.71550160646439,315.2051940560341,132.42393045686185,32.07219047961015
22,16,44.53468479216099,12.90607463568449,190.80893089994788,580.7657018303871,39.13318174891174,8.32048068037114
17,22,16.11495992168784,28.735986426472664,54.447833681479096,698.3429454267025,72.72043254226446,7.11774658137538
30,2,53.192960154265165,29.027969017624855,45.829957351088524,344.6018472313881,129.1011746507138,11.635793844010612
3,3,26.82065600529313,19.667941303923726,220.54916829802096,700.5737572908401,117.32055117376149,21.337607966957215
