id,doi,title,year,cited_by_count,capability_fit,parameter_space,multi_objective,impact,polymer_specificity,workflow_boost,device_penalty,novelty,constraint_penalty,score_total
https://openalex.org/W123543948,https://doi.org/10.1201/9780203742860,Polymer Interface and Adhesion,2017,3398,0.16666666666666666,0.0,0.25,0.9581922349422133,0.25,0.0,0.0,0.0,0.0,0.2937
https://openalex.org/W2082019533,https://doi.org/10.1002/adma.201404317,An Electron Acceptor Challenging Fullerenes for Efficient Polymer Solar Cells,2015,3909,0.16666666666666666,0.0,0.0,0.9852860609176014,0.125,0.0,0.2,0.0,0.0,0.209
https://openalex.org/W2078107904,https://doi.org/10.1002/adma.201500033,Polymeric Photocatalysts Based on Graphitic Carbon Nitride,2015,3474,0.16666666666666666,0.0,0.0,0.9624700307930736,0.0,0.25,0.0,0.0,0.0,0.2194
https://openalex.org/W1969929163,https://doi.org/10.1126/science.aaa3145,Metal-free efficient photocatalyst for stable visible water splitting via a two-electron pathway,2015,4218,0.16666666666666666,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.2375
https://openalex.org/W3037259832,https://doi.org/10.1016/j.chempr.2020.06.010,S-Scheme Heterojunction Photocatalyst,2020,3146,0.0,0.0,0.0,0.9432904767033848,0.0,0.0,0.0,0.0,0.0,0.1415
https://openalex.org/W2465747391,https://doi.org/10.1021/acs.nanolett.6b04453,Origin of Reversible Photoinduced Phase Separation in Hybrid Perovskites,2017,643,0.3333333333333333,0.0,0.0,0.6363811660971572,0.0,0.0,0.0,0.0,0.0,0.1955
https://openalex.org/W2625492040,https://doi.org/10.1126/science.aan3679,Photoinduced decarboxylative borylation of carboxylic acids,2017,646,0.3333333333333333,0.0,0.0,0.6372802373007167,0.0,0.0,0.0,0.0,0.0,0.1956
https://openalex.org/W2886489887,https://doi.org/10.1021/jacs.8b07103,Photoinduced Deaminative Borylation of Alkylamines,2018,374,0.0,0.0,0.0,0.53176879229697,0.0,0.0,0.0,0.0,0.0,0.0798
https://openalex.org/W2614011276,https://doi.org/10.1021/acsenergylett.7b00282,Defect-Assisted Photoinduced Halide Segregation in Mixed-Halide Perovskite Thin Films,2017,565,0.5,0.0,0.0,0.6114058970382096,0.0,0.0,0.2,0.0,0.0,0.2217
https://openalex.org/W2809429114,https://doi.org/10.1039/c8dt01585f,Why develop photoactivated chemotherapy?,2018,265,0.3333333333333333,0.0,0.0,0.4653323802152593,0.0,0.25,0.0,0.0,0.0,0.1948
https://openalex.org/W3120252825,https://doi.org/10.1016/j.nantod.2020.101073,Near-infrared photoactivated nanomedicines for photothermal synergistic cancer therapy,2021,287,0.0,0.0,0.0,0.48070470872846566,0.0,0.0,0.0,0.0,0.0,0.0721
https://openalex.org/W2991194296,https://doi.org/10.1002/anie.201913800,"Photoactivated Fluorescence Enhancement in F,N‐Doped Carbon Dots with Piezochromic Behavior",2019,204,0.6666666666666666,0.16666666666666666,0.5,0.4149413503431279,0.0,0.0,0.0,0.0,0.0,0.3456
https://openalex.org/W2743661267,https://doi.org/10.1073/pnas.1704462114,Phototropin perceives temperature based on the lifetime of its photoactivated state,2017,159,0.16666666666666666,0.0,0.25,0.36699749257595726,0.0,0.0,0.4,0.0,0.0,0.1025
https://openalex.org/W2915400200,https://doi.org/10.1021/acsapm.8b00165,Photopolymerization in 3D Printing,2019,1173,0.3333333333333333,0.0,0.0,0.7525426043702588,0.5,0.5,0.2,0.0,0.0,0.3679
https://openalex.org/W2320460250,https://doi.org/10.1146/annurev-matsci-070115-031841,Ceramic Stereolithography: Additive Manufacturing for Ceramics by Photopolymerization,2016,487,0.3333333333333333,0.0,0.0,0.5827214166740283,0.375,0.75,0.0,0.0,0.0,0.3562
https://openalex.org/W2100303002,https://doi.org/10.1109/comst.2015.2476474,"Visible Light Communication, Networking, and Sensing: A Survey, Potential and Challenges",2015,1408,0.3333333333333333,0.0,0.25,0.7878401352299299,0.0,0.0,0.2,0.0,0.0,0.2357
https://openalex.org/W2038851518,https://doi.org/10.1021/jacs.5b03105,Efficient Visible Light Nitrogen Fixation with BiOBr Nanosheets of Oxygen Vacancies on the Exposed {001} Facets,2015,1661,0.3333333333333333,0.0,0.25,0.8197867192698446,0.0,0.0,0.0,0.0,0.0,0.2605
https://openalex.org/W2566202566,https://doi.org/10.1038/ncomms13907,Ti3C2 MXene co-catalyst on metal sulfide photo-absorbers for enhanced visible-light photocatalytic hydrogen production,2017,1865,0.0,0.0,0.0,0.8421834490705403,0.0,0.0,0.0,0.0,0.0,0.1263
https://openalex.org/W3093224954,https://doi.org/10.1016/j.progpolymsci.2020.101311,Reversible-deactivation radical polymerization (Controlled/living radical polymerization): From discovery to materials design and applications,2020,814,0.0,0.0,0.0,0.6819365422968057,0.0,0.0,0.0,0.0,0.0,0.1023
https://openalex.org/W2315112119,https://doi.org/10.1126/science.aaf3935,Organocatalyzed atom transfer radical polymerization driven by visible light,2016,752,0.3333333333333333,0.0,0.0,0.6666302354772309,0.375,0.25,0.0,0.0,0.0,0.3187
https://openalex.org/W2473432380,https://doi.org/10.1016/j.progpolymsci.2016.06.005,Photomediated controlled radical polymerization,2016,646,0.0,0.0,0.0,0.6372802373007167,0.0,0.0,0.0,0.0,0.0,0.0956
https://openalex.org/W2754736905,https://doi.org/10.1021/acs.macromol.7b01440,<i>50th Anniversary Perspective</i>: Living Polymerization—Emphasizing the <i>Molecule</i> in <i>Macromolecules</i>,2017,353,0.3333333333333333,0.0,0.0,0.5206204516127119,0.375,0.25,0.2,0.0,0.0,0.2768
https://openalex.org/W2958787945,https://doi.org/10.1021/jacs.9b04935,Supramolecular Block Copolymers by Seeded Living Polymerization of Perylene Bisimides,2019,143,0.16666666666666666,0.0,0.0,0.34661552128737905,0.625,0.25,0.2,0.0,0.0,0.2632
https://openalex.org/W2941499520,https://doi.org/10.1016/j.progpolymsci.2019.04.002,Recent advances in thermoplastic elastomers from living polymerizations: Macromolecular architectures and supramolecular chemistry,2019,276,0.0,0.0,0.0,0.4731711979824653,0.0,0.0,0.0,0.0,0.0,0.071
https://openalex.org/W3202067245,https://doi.org/10.1021/acs.accounts.1c00489,Alkyne-Palladium(II)-Catalyzed Living Polymerization of Isocyanides: An Exploration of Diverse Structures and Functions,2021,144,0.5,0.0,0.25,0.3479542796114217,1.0,0.5,0.2,0.0,0.0,0.5197
https://openalex.org/W2759655425,https://doi.org/10.1021/acs.macromol.7b00767,<i>50th Anniversary Perspective</i>: RAFT Polymerization—A User Guide,2017,1258,0.16666666666666666,0.0,0.0,0.7660649457533605,0.375,0.25,0.0,0.0,0.0,0.2837
https://openalex.org/W3109908659,https://doi.org/10.1007/978-3-030-58536-5_24,RAFT: Recurrent All-Pairs Field Transforms for Optical Flow,2020,1676,0.0,0.0,0.0,0.8215248244552142,0.0,0.0,0.0,0.0,0.0,0.1232
https://openalex.org/W2803069581,https://doi.org/10.1039/c8cc02783h,PET-RAFT polymerisation: towards green and precision polymer manufacturing,2018,216,0.16666666666666666,0.0,0.0,0.42594620187129223,0.125,0.0,0.0,0.0,0.0,0.1451
https://openalex.org/W2783030561,https://doi.org/10.1002/anie.201711044,An Oxygen‐Tolerant PET‐RAFT Polymerization for Screening Structure–Activity Relationships,2018,192,0.0,0.0,0.0,0.4032724986390844,0.25,0.0,0.0,0.0,0.4,0.163
https://openalex.org/W3137261543,https://doi.org/10.1021/acsmacrolett.1c00046,PET-RAFT Polymerization: Mechanistic Perspectives for Future Materials,2021,143,0.16666666666666666,0.0,0.0,0.34661552128737905,0.375,0.25,0.0,0.0,0.0,0.2207
https://openalex.org/W2606010315,https://doi.org/10.1039/c7py00442g,Application of oxygen tolerant PET-RAFT to polymerization-induced self-assembly,2017,156,0.3333333333333333,0.0,0.0,0.3633358727402165,0.25,0.5,0.0,0.0,0.0,0.267
https://openalex.org/W2906216176,https://doi.org/10.1021/acs.macromol.8b02517,Guiding the Design of Organic Photocatalyst for PET-RAFT Polymerization: Halogenated Xanthene Dyes,2018,141,0.16666666666666666,0.0,0.25,0.34390988549408,0.25,0.25,0.2,0.0,0.0,0.2066
https://openalex.org/W2765595220,https://doi.org/10.1002/adma.201703404,Thiol–Ene Clickable Gelatin: A Platform Bioink for Multiple 3D Biofabrication Technologies,2017,301,0.3333333333333333,0.0,0.0,0.4898871011373444,0.625,1.0,0.2,0.0,0.0,0.4097
https://openalex.org/W2232321619,https://doi.org/10.1021/acsbiomaterials.5b00420,Thiol–ene Click Hydrogels for Therapeutic Delivery,2016,208,0.0,0.0,0.0,0.4186796271678117,0.25,0.0,0.0,0.0,0.0,0.1253
https://openalex.org/W2810959581,https://doi.org/10.1021/acs.biomac.8b00696,Thiol–Ene Alginate Hydrogels as Versatile Bioinks for Bioprinting,2018,181,0.0,0.0,0.0,0.391920186609236,0.375,0.25,0.2,0.0,0.0,0.1575
https://openalex.org/W2760219953,https://doi.org/10.1039/c7mh00488e,Thiol–ene chemistry for polymer coatings and surface modification – building in sustainability and performance,2017,146,0.16666666666666666,0.0,0.0,0.3506043183916184,0.0,0.25,0.0,0.0,0.0,0.1276
https://openalex.org/W2871306352,https://doi.org/10.1021/acscentsci.8b00325,A Reversible and Repeatable Thiol–Ene Bioconjugation for Dynamic Patterning of Signaling Proteins in Hydrogels,2018,147,0.16666666666666666,0.0,0.0,0.3519158475220405,0.25,0.0,0.0,0.0,0.0,0.1653
https://openalex.org/W2190558763,https://doi.org/10.1039/c5gc02153g,Ionic liquid tethered post functionalized ZIF-90 framework for the cycloaddition of propylene oxide and CO<sub>2</sub>,2015,195,0.0,0.0,0.0,0.4062563594274991,0.0,0.0,0.0,0.0,0.0,0.0609
https://openalex.org/W2910418919,https://doi.org/10.1016/j.jhazmat.2019.01.025,"Post-functionalization of UiO-66-NH2 by 2,5-Dimercapto-1,3,4-thiadiazole for the high efficient removal of Hg(II) in water",2019,262,0.0,0.0,0.0,0.4631382190093737,0.0,0.0,0.0,0.0,0.0,0.0695
https://openalex.org/W2331927092,https://doi.org/10.1039/c6ra00194g,One-step green synthesis of gold and silver nanoparticles with ascorbic acid and their versatile surface post-functionalization,2016,178,0.0,0.0,0.0,0.38870488036259576,0.0,0.0,0.0,0.0,0.0,0.0583
https://openalex.org/W2093641039,https://doi.org/10.1039/c4nr06873d,Lanthanides post-functionalized nanocrystalline metal–organic frameworks for tunable white-light emission and orthogonal multi-readout thermometry,2015,127,0.0,0.0,0.0,0.32383041591805384,0.0,0.0,0.0,0.0,0.0,0.0486
