volume,replicate,mass,start_time,end_time,aspirate_speed,dispense_speed,aspirate_wait_time,dispense_wait_time,retract_speed,pre_asp_air_vol,post_asp_air_vol,blowout_vol
0.01,0,0.006999999999999673,2025-06-25T17:40:40.421103,2025-06-25T17:41:28.785182,12,13,8.865606626495719,25.507228514179587,12.955780761316419,0.08964786045253277,0.009584618732333183,0.019973371271044017
0.01,1,0.006800000000000139,2025-06-25T17:41:28.785182,2025-06-25T17:42:17.992886,12,13,8.865606626495719,25.507228514179587,12.955780761316419,0.08964786045253277,0.009584618732333183,0.019973371271044017
0.01,2,0.006800000000000139,2025-06-25T17:42:17.992886,2025-06-25T17:43:05.799181,12,13,8.865606626495719,25.507228514179587,12.955780761316419,0.08964786045253277,0.009584618732333183,0.019973371271044017
0.01,0,0.0038999999999997925,2025-06-25T17:43:05.825151,2025-06-25T17:44:02.399877,18,29,18.480767849832773,9.92737378925085,1.4810310155153275,0.021166110504418613,0.09678952721878886,0.07085026931017638
0.01,1,0.007200000000000983,2025-06-25T17:44:02.400533,2025-06-25T17:45:01.397831,18,29,18.480767849832773,9.92737378925085,1.4810310155153275,0.021166110504418613,0.09678952721878886,0.07085026931017638
0.01,2,0.0031999999999996476,2025-06-25T17:45:01.397831,2025-06-25T17:46:02.395429,18,29,18.480767849832773,9.92737378925085,1.4810310155153275,0.021166110504418613,0.09678952721878886,0.07085026931017638
0.01,0,0.00730000000000075,2025-06-25T17:46:02.422581,2025-06-25T17:46:44.605302,26,6,0.7320817932486534,18.36072424426675,7.5372832622379065,0.03997252676635981,0.04463346553966403,0.07741775074973703
0.01,1,0.0071000000000012164,2025-06-25T17:46:44.605302,2025-06-25T17:47:25.600689,26,6,0.7320817932486534,18.36072424426675,7.5372832622379065,0.03997252676635981,0.04463346553966403,0.07741775074973703
0.01,2,0.003400000000000958,2025-06-25T17:47:25.600689,2025-06-25T17:48:08.594501,26,6,0.7320817932486534,18.36072424426675,7.5372832622379065,0.03997252676635981,0.04463346553966403,0.07741775074973703
0.01,0,0.00730000000000075,2025-06-25T17:48:08.624540,2025-06-25T17:48:55.393230,7,22,24.394993605092168,2.07382139749825,10.070545684546232,0.0707101228646934,0.061347012594342235,0.025173463486135007
0.01,1,0.0070000000000014495,2025-06-25T17:48:55.393230,2025-06-25T17:49:43.599694,7,22,24.394993605092168,2.07382139749825,10.070545684546232,0.0707101228646934,0.061347012594342235,0.025173463486135007
0.01,2,0.00689999999999813,2025-06-25T17:49:43.600309,2025-06-25T17:50:34.396154,7,22,24.394993605092168,2.07382139749825,10.070545684546232,0.0707101228646934,0.061347012594342235,0.025173463486135007
0.01,0,0.006899999999999906,2025-06-25T17:50:34.428442,2025-06-25T17:51:02.792128,6,17,3.127111690118909,9.12240631878376,4.613543218001723,0.051800356898456815,0.005488559231162072,0.018380295857787134
0.01,1,0.006499999999999062,2025-06-25T17:51:02.792616,2025-06-25T17:51:30.404435,6,17,3.127111690118909,9.12240631878376,4.613543218001723,0.051800356898456815,0.005488559231162072,0.018380295857787134
0.01,2,0.006899999999999906,2025-06-25T17:51:30.404435,2025-06-25T17:51:59.200202,6,17,3.127111690118909,9.12240631878376,4.613543218001723,0.051800356898456815,0.005488559231162072,0.018380295857787134
0.01,0,0.003300000000001191,2025-06-25T17:51:59.233249,2025-06-25T17:53:13.596307,25,25,23.992158360779285,22.591543151065707,8.890156205743551,0.03429424092173577,0.08799194870516658,0.06613219333812595
0.01,1,0.0037000000000002586,2025-06-25T17:53:13.596307,2025-06-25T17:54:29.799237,25,25,23.992158360779285,22.591543151065707,8.890156205743551,0.03429424092173577,0.08799194870516658,0.06613219333812595
0.01,2,0.0030999999999998806,2025-06-25T17:54:29.799752,2025-06-25T17:55:43.203652,25,25,23.992158360779285,22.591543151065707,8.890156205743551,0.03429424092173577,0.08799194870516658,0.06613219333812595
0.01,0,0.007799999999999585,2025-06-25T17:55:43.238816,2025-06-25T17:56:10.800409,20,10,10.220576841384172,1.0385697428137064,14.071327509358525,0.003003095742315054,0.03936676783487201,0.08519967235624791
0.01,1,0.007600000000000051,2025-06-25T17:56:10.800971,2025-06-25T17:56:41.195154,20,10,10.220576841384172,1.0385697428137064,14.071327509358525,0.003003095742315054,0.03936676783487201,0.08519967235624791
0.01,2,0.004099999999999326,2025-06-25T17:56:41.195154,2025-06-25T17:57:07.800591,20,10,10.220576841384172,1.0385697428137064,14.071327509358525,0.003003095742315054,0.03936676783487201,0.08519967235624791
0.01,0,0.0002999999999993008,2025-06-25T17:57:07.837628,2025-06-25T17:57:58.805165,14,18,15.133602982386947,15.675207730382681,4.353389084339142,0.08315568547695876,0.054507419839501386,0.03608038453385234
