measurement_id,trial_id,strategy,liquid,volume_target_ml,volume_target_ul,volume_measured_ml,volume_measured_ul,duration_s,timestamp,replicate_id,deviation_individual_pct,calibration_overaspirate_vol,hardware_parameters_aspirate_speed,hardware_parameters_dispense_speed,hardware_parameters_aspirate_wait_time,hardware_parameters_dispense_wait_time,hardware_parameters_retract_speed,hardware_parameters_blowout_vol,hardware_parameters_post_asp_air_vol,metadata_replicate,metadata_volume,metadata_elapsed_s,metadata_start_time,metadata_end_time,metadata_target_volume_mL,metadata_measured_volume_uL,metadata_target_volume_uL,metadata_aspirate_speed,metadata_dispense_speed,metadata_aspirate_wait_time,metadata_dispense_wait_time,metadata_retract_speed,metadata_blowout_vol,metadata_post_asp_air_vol,metadata_overaspirate_vol
measurement_1763749248499068_1,trial_1,screening,water,0.05,50.0,0.045558378576907706,45.55837857690771,26.200120700057596,1763749248.4990685,1,8.883242846184594,0.005132929980754852,16,14,0.9100431799888611,0.26149865984916687,14.323761224746704,0.03655060231685638,0.020392718911170962,1,0.045558378576907706,26.200120700057596,2025-11-21T13:20:22.299839,2025-11-21T13:20:48.499068,0.05,45.55837857690771,50.0,20,15,2.0,1.0,5.0,0.02,0.01,0.005132929980754852
measurement_1763749270701726_1,trial_1,screening,water,0.05,50.0,0.04517073685942712,45.17073685942712,22.199392599985003,1763749270.7017267,1,9.65852628114576,0.005132929980754852,16,14,0.9100431799888611,0.26149865984916687,14.323761224746704,0.03655060231685638,0.020392718911170962,1,0.04517073685942712,22.199392599985003,2025-11-21T13:20:48.499068,2025-11-21T13:21:10.701514,0.05,45.17073685942712,50.0,20,15,2.0,1.0,5.0,0.02,0.01,0.005132929980754852
measurement_1763749292295128_1,trial_1,screening,water,0.05,50.0,0.04424476494718761,44.24476494718761,21.592225400032476,1763749292.295128,1,11.510470105624782,0.005132929980754852,16,14,0.9100431799888611,0.26149865984916687,14.323761224746704,0.03655060231685638,0.020392718911170962,1,0.04424476494718761,21.592225400032476,2025-11-21T13:21:10.702757,2025-11-21T13:21:32.294913,0.05,44.24476494718761,50.0,20,15,2.0,1.0,5.0,0.02,0.01,0.005132929980754852
measurement_1763749315503907_1,trial_2,screening,water,0.05,50.0,0.044083704510765376,44.08370451076537,23.196729699964635,1763749315.5039077,1,11.832590978469254,0.003289668986108154,11,10,1.2166957687586546,1.5025681629776955,5.057724988088012,0.18795699384063483,0.07706798538565636,1,0.044083704510765376,23.196729699964635,2025-11-21T13:21:32.307013,2025-11-21T13:21:55.503710,0.05,44.08370451076537,50.0,20,15,2.0,1.0,5.0,0.02,0.01,0.003289668986108154
measurement_1763749337496551_1,trial_3,screening,water,0.05,50.0,0.04103315671705208,41.03315671705208,21.980090799974278,1763749337.4965518,1,17.933686565895847,0.0009555800934322178,19,17,0.0036186370998620987,1.4066540338099003,1.8598279654979706,0.05513205546885729,0.052993999607861046,1,0.04103315671705208,21.980090799974278,2025-11-21T13:21:55.515984,2025-11-21T13:22:17.495498,0.05,41.03315671705208,50.0,20,15,2.0,1.0,5.0,0.02,0.01,0.0009555800934322178
measurement_1763749356688352_1,trial_4,screening,water,0.05,50.0,0.04819565413036934,48.19565413036934,19.18125520006288,1763749356.6883528,1,3.60869173926133,0.007496376349590718,8,5,1.8727559987455606,0.6650948170572519,10.961748152971268,0.11937548741698266,0.046420203149318696,1,0.04819565413036934,19.18125520006288,2025-11-21T13:22:17.509087,2025-11-21T13:22:36.688352,0.05,48.19565413036934,50.0,20,15,2.0,1.0,5.0,0.02,0.01,0.007496376349590718
measurement_1763749378882043_1,trial_4,screening,water,0.05,50.0,0.046766177570946296,46.7661775709463,22.19981210003607,1763749378.8820434,1,6.467644858107413,0.007496376349590718,8,5,1.8727559987455606,0.6650948170572519,10.961748152971268,0.11937548741698266,0.046420203149318696,1,0.046766177570946296,22.19981210003607,2025-11-21T13:22:36.688352,2025-11-21T13:22:58.882043,0.05,46.7661775709463,50.0,20,15,2.0,1.0,5.0,0.02,0.01,0.007496376349590718
measurement_1763749400692316_1,trial_4,screening,water,0.05,50.0,0.04733276675549967,47.33276675549967,21.79957909998484,1763749400.692316,1,5.334466489000669,0.007496376349590718,8,5,1.8727559987455606,0.6650948170572519,10.961748152971268,0.11937548741698266,0.046420203149318696,1,0.04733276675549967,21.79957909998484,2025-11-21T13:22:58.882043,2025-11-21T13:23:20.692316,0.05,47.33276675549967,50.0,20,15,2.0,1.0,5.0,0.02,0.01,0.007496376349590718
measurement_1763749422489108_1,trial_5,screening,water,0.05,50.0,0.04702525753763717,47.025257537637174,21.789349500089884,1763749422.4891083,1,5.949484924725662,0.006057524154894054,17,11,1.6443808116018772,0.9889514353126287,11.954907761886716,0.08586102034896613,0.06974538145586849,1,0.04702525753763717,21.789349500089884,2025-11-21T13:23:20.704041,2025-11-21T13:23:42.489108,0.05,47.025257537637174,50.0,20,15,2.0,1.0,5.0,0.02,0.01,0.006057524154894054
measurement_1763749445091874_1,trial_5,screening,water,0.05,50.0,0.046981916599369594,46.9819165993696,22.599483800004236,1763749445.0918746,1,6.036166801260817,0.006057524154894054,17,11,1.6443808116018772,0.9889514353126287,11.954907761886716,0.08586102034896613,0.06974538145586849,1,0.046981916599369594,22.599483800004236,2025-11-21T13:23:42.489108,2025-11-21T13:24:05.091874,0.05,46.9819165993696,50.0,20,15,2.0,1.0,5.0,0.02,0.01,0.006057524154894054
