volume_mL,replicate,method,measured_mass_mg
0.025,1,A,0.020200000000000884
0.025,2,A,0.02030000000000065
0.025,3,A,0.020100000000001117
0.025,4,A,0.01950000000000074
0.025,5,A,0.019199999999999662
0.05,1,A,0.04449999999999932
0.05,2,A,0.04490000000000016
0.05,3,A,0.044599999999999085
0.05,4,A,0.04469999999999885
0.05,5,A,0.04469999999999885
0.1,1,A,0.09420000000000073
0.1,2,A,0.09419999999999895
0.1,3,A,0.09379999999999988
0.1,4,A,0.0943000000000005
0.1,5,A,0.09450000000000003
0.2,1,A,0.19690000000000119
0.2,2,A,0.19640000000000057
0.2,3,A,0.19640000000000057
0.2,4,A,0.19650000000000034
0.2,5,A,0.19709999999999894
