volume_mL,replicate,method,measured_mass_mg
0.02,1,A,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.02,2,A,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.02,3,A,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.02,4,A,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.02,5,A,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.02,1,B,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.02,2,B,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.02,3,B,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.02,4,B,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.02,5,B,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.05,1,A,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.05,2,A,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.05,3,A,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.05,4,A,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.05,5,A,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.05,1,B,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.05,2,B,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.05,3,B,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.05,4,B,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.05,5,B,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.1,1,A,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.1,2,A,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.1,3,A,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.1,4,A,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.1,5,A,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.1,1,B,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.1,2,B,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.1,3,B,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.1,4,B,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.1,5,B,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.15,1,A,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.15,2,A,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.15,3,A,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.15,4,A,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.15,5,A,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.15,1,B,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.15,2,B,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.15,3,B,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.15,4,B,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.15,5,B,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.2,1,A,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.2,2,A,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.2,3,A,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.2,4,A,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.2,5,A,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.2,1,B,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.2,2,B,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.2,3,B,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.2,4,B,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
0.2,5,B,<MagicMock name='mock.read_steady_scale().__sub__()' id='1714162288912'>
