cap_type,capped,home_location,home_location_index,location,location_index,vial_index,vial_name,vial_type,vial_volume
open,True,main_8mL_rack,0,main_8mL_rack,0,0,phospholipid_a,8_mL,5.0
open,True,main_8mL_rack,1,main_8mL_rack,1,1,phospholipid_b,8_mL,5.0
open,True,main_8mL_rack,2,main_8mL_rack,2,2,polymer_x,8_mL,5.0
open,True,main_8mL_rack,3,main_8mL_rack,3,3,polymer_y,8_mL,5.0
open,True,main_8mL_rack,4,main_8mL_rack,4,4,water_supply,8_mL,8.0
open,True,main_8mL_rack,5,main_8mL_rack,5,5,substock_1,8_mL,0.0
open,True,main_8mL_rack,6,main_8mL_rack,6,6,substock_2,8_mL,0.0
open,True,main_8mL_rack,7,main_8mL_rack,7,7,substock_3,8_mL,0.0
open,True,main_8mL_rack,8,main_8mL_rack,8,8,substock_4,8_mL,0.0
open,True,main_8mL_rack,9,main_8mL_rack,9,9,substock_5,8_mL,0.0
open,True,main_8mL_rack,10,main_8mL_rack,10,10,substock_6,8_mL,0.0
open,True,main_8mL_rack,11,main_8mL_rack,11,11,substock_7,8_mL,0.0
open,True,main_8mL_rack,12,main_8mL_rack,12,12,substock_8,8_mL,0.0
open,True,main_8mL_rack,13,main_8mL_rack,13,13,substock_9,8_mL,0.0
open,True,main_8mL_rack,14,main_8mL_rack,14,14,substock_10,8_mL,0.0
