vial_index,vial_name,location,location_index,vial_volume,capped,cap_type,vial_type,home_location,home_location_index
0,Water,main_8mL_rack,0,0,True,open,8_mL,main_8mL_rack,0
1,PVA_1,main_8mL_rack,1,8,True,open,8_mL,main_8mL_rack,1
2,PVA_2,main_8mL_rack,2,8,True,open,8_mL,main_8mL_rack,2
3,PVA_3,main_8mL_rack,3,8,True,open,8_mL,main_8mL_rack,3
4,FeCl3,main_8mL_rack,4,0,True,open,8_mL,main_8mL_rack,4
5,HCl,main_8mL_rack,5,8,True,open,8_mL,main_8mL_rack,5
6,Acid_2,main_8mL_rack,6,8,True,open,8_mL,main_8mL_rack,6
7,Acid_3,main_8mL_rack,7,8,True,open,8_mL,main_8mL_rack,7
8,NaOH,main_8mL_rack,8,8,True,open,8_mL,main_8mL_rack,8
9,FeCl3_stock,large_vial_rack,0,16,False,none,20_mL,large_vial_rack,0
