vial_index,vial_name,location,location_index,vial_volume,capped,cap_type,vial_type,home_location,home_location_index
0,CHAPS,main_8mL_rack,12,3.125,True,open,8_mL,main_8mL_rack,12
1,CAPB,main_8mL_rack,13,2.475,True,open,8_mL,main_8mL_rack,13
2,TTAB,main_8mL_rack,14,3.962,True,open,8_mL,main_8mL_rack,14
3,CTAB,large_vial_rack,0,4.764000000000003,False,none,20_mL,large_vial_rack,0
22,water_large,large_vial_rack,2,16.393999999999995,True,open,20_mL,large_vial_rack,2
10,substock_1,main_8mL_rack,0,0.4998999999999999,True,open,8_mL,main_8mL_rack,0
11,substock_2,main_8mL_rack,1,0.5028099999999996,True,open,8_mL,main_8mL_rack,1
12,substock_3,main_8mL_rack,2,0.5010100000000003,True,open,8_mL,main_8mL_rack,2
13,substock_4,main_8mL_rack,3,0.5028099999999996,True,open,8_mL,main_8mL_rack,3
20,water,main_8mL_rack,45,7.5,True,open,8_mL,main_8mL_rack,45
21,pyrene_DMSO,small_vial_rack,0,0.8000000000000034,False,none,2_mL,main_8mL_rack,0
